time,SMControlTest.done,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
1540,z,0,0,0,0,0,0,0,100,1,0,101,0,0,0,101,0,0,1,z,0,101,0,0,0,0,0,0,0,0,0
1560,z,0,0,0,0,0,0,0,100,0,0,101,0,0,0,101,0,1,0,z,0,101,0,0,0,0,0,0,0,0,0
1590,z,0,0,0,0,1,0,0,100,0,0,101,0,0,1,101,0,1,0,z,0,101,0,0,0,0,0,0,1,1,0
1610,z,0,0,0,0,1,0,0,100,0,0,101,0,1,1,101,0,1,0,z,0,101,0,0,0,0,0,1,1,1,0
1630,z,0,0,0,0,1,0,0,100,1,0,101,0,1,1,101,0,1,1,z,0,101,0,0,0,0,0,1,1,1,0
1680,z,1,0,0,1,10,1,1,100,1,0,101,0,0,1,101,0,1,1,z,1,101,1,0,1,0,0,0,1,10,1
1690,z,1,0,0,1,10,1,1,100,0,0,101,0,0,1,101,0,1,0,z,1,101,1,0,1,0,0,0,1,10,1
1700,z,1,0,0,1,10,1,1,100,0,0,101,0,0,1,110,0,0,0,z,1,101,1,0,1,0,0,0,1,10,1
1710,z,1,0,0,1,10,1,1,100,0,0,110,0,0,1,110,0,0,0,z,1,110,1,0,1,0,0,0,1,10,1
1730,z,1,0,0,1,10,1,1,100,0,0,110,0,0,0,110,0,0,0,z,1,110,1,0,1,0,0,0,0,10,1
1750,z,1,0,0,1,10,1,1,100,0,0,110,0,1,0,110,0,0,0,z,1,110,1,0,1,0,0,1,0,10,1
1770,z,0,0,0,0,0,0,0,100,1,0,110,0,1,0,110,0,0,1,z,0,110,0,0,0,0,0,1,0,0,0
1780,z,0,0,0,0,0,0,0,100,0,0,110,0,1,0,110,0,0,0,z,0,110,0,0,0,0,0,1,0,0,0
1800,z,0,0,0,0,0,0,0,100,0,0,110,0,0,0,110,0,0,0,z,0,110,0,0,0,0,0,0,0,0,0
1820,z,0,0,0,0,0,0,0,100,1,0,110,0,0,0,110,0,0,1,z,0,110,0,0,0,0,0,0,0,0,0
1840,z,0,0,0,0,0,0,0,100,0,0,110,0,0,0,110,0,1,0,z,0,110,0,0,0,0,0,0,0,0,0
1870,z,0,0,0,0,1,0,0,100,0,0,110,0,0,1,110,0,1,0,z,0,110,0,0,0,0,0,0,1,1,0
1890,z,0,0,0,0,1,0,0,100,0,0,110,0,1,1,110,0,1,0,z,0,110,0,0,0,0,0,1,1,1,0
1910,z,0,0,0,0,1,0,0,100,1,0,110,0,1,1,110,0,1,1,z,0,110,0,0,0,0,0,1,1,1,0
1960,z,1,0,0,1,10,1,1,100,1,0,110,0,0,1,110,0,1,1,z,1,110,1,0,1,0,0,0,1,10,1
1970,z,1,0,0,1,10,1,1,100,0,0,110,0,0,1,110,0,1,0,z,1,110,1,0,1,0,0,0,1,10,1
1980,z,1,0,0,1,10,1,1,100,0,0,110,0,0,1,111,0,0,0,z,1,110,1,0,1,0,0,0,1,10,1
1990,z,1,0,0,1,10,1,1,100,0,0,111,0,0,1,111,0,0,0,z,1,111,1,0,1,0,0,0,1,10,1
2010,z,1,0,0,1,10,1,1,100,0,0,111,0,0,0,111,0,0,0,z,1,111,1,0,1,0,0,0,0,10,1
2030,z,1,0,0,1,10,1,1,100,0,0,111,0,1,0,111,0,0,0,z,1,111,1,0,1,0,0,1,0,10,1
2050,z,0,0,0,0,0,0,0,100,1,0,111,0,1,0,111,0,0,1,z,0,111,0,0,0,0,0,1,0,0,0
2060,z,0,0,0,0,0,0,0,100,0,0,111,0,1,0,111,0,0,0,z,0,111,0,0,0,0,0,1,0,0,0
2080,z,0,0,0,0,0,0,0,100,0,0,111,0,0,0,111,0,0,0,z,0,111,0,0,0,0,0,0,0,0,0
2100,z,0,0,0,0,0,0,0,100,1,0,111,0,0,0,111,0,0,1,z,0,111,0,0,0,0,0,0,0,0,0
2120,z,0,0,0,0,0,0,0,100,0,0,111,0,0,0,111,0,1,0,z,0,111,0,0,0,0,0,0,0,0,0
2150,z,0,0,0,0,1,0,0,100,0,0,111,0,0,1,111,0,1,0,z,0,111,0,0,0,0,0,0,1,1,0
2170,z,0,0,0,0,1,0,0,100,0,0,111,0,1,1,111,0,1,0,z,0,111,0,0,0,0,0,1,1,1,0
2190,z,0,0,0,0,1,0,0,100,1,0,111,0,1,1,111,0,1,1,z,0,111,0,0,0,0,0,1,1,1,0
2240,z,1,0,0,1,10,1,1,100,1,0,111,0,0,1,111,0,1,1,z,1,111,1,0,1,0,0,0,1,10,1
2250,z,1,0,0,1,10,1,1,100,0,0,111,0,0,1,111,0,1,0,z,1,111,1,0,1,0,0,0,1,10,1
2260,z,1,0,0,1,10,1,1,100,0,0,111,0,0,1,1000,0,0,0,z,1,111,1,0,1,0,0,0,1,10,1
2270,z,1,0,0,1,10,1,1,100,0,0,1000,0,0,1,1000,0,0,0,z,1,1000,1,0,1,0,0,0,1,10,1
2290,z,1,0,0,1,10,1,1,100,0,0,1000,0,0,0,1000,0,0,0,z,1,1000,1,0,1,0,0,0,0,10,1
2310,z,1,0,0,1,10,1,1,100,0,0,1000,0,1,0,1000,0,0,0,z,1,1000,1,0,1,0,0,1,0,10,1
2330,z,0,0,0,0,0,0,0,100,1,0,1000,0,1,0,1000,0,0,1,z,0,1000,0,0,0,0,0,1,0,0,0
2340,z,0,0,0,0,0,0,0,100,0,0,1000,0,1,0,1000,0,0,0,z,0,1000,0,0,0,0,0,1,0,0,0
2360,z,0,0,0,0,0,0,0,100,0,0,1000,0,0,0,1000,0,0,0,z,0,1000,0,0,0,0,0,0,0,0,0
2380,z,0,0,0,0,0,0,0,100,1,0,1000,0,0,0,1000,0,0,1,z,0,1000,0,0,0,0,0,0,0,0,0
2400,z,0,0,0,0,0,0,0,100,0,0,1000,0,0,0,1000,0,1,0,z,0,1000,0,0,0,0,0,0,0,0,0
2430,z,0,0,0,0,1,0,0,100,0,0,1000,0,0,1,1000,0,1,0,z,0,1000,0,0,0,0,0,0,1,1,0
2450,z,0,0,0,0,1,0,0,100,0,0,1000,0,1,1,1000,0,1,0,z,0,1000,0,0,0,0,0,1,1,1,0
2470,z,0,0,0,0,1,0,0,100,1,0,1000,0,1,1,1000,0,1,1,z,0,1000,0,0,0,0,0,1,1,1,0
2520,z,1,0,0,1,10,1,1,100,1,0,1000,0,0,1,1000,0,1,1,z,1,1000,1,0,1,0,0,0,1,10,1
2530,z,1,0,0,1,10,1,1,100,0,0,1000,0,0,1,1000,0,1,0,z,1,1000,1,0,1,0,0,0,1,10,1
2540,z,1,0,0,1,10,1,1,100,0,0,1000,0,0,1,1001,0,0,0,z,1,1000,1,0,1,0,0,0,1,10,1
2550,z,1,0,0,1,10,1,1,100,0,0,1001,0,0,1,1001,0,0,0,z,1,1001,1,0,1,0,0,0,1,10,1
2570,z,1,0,0,1,10,1,1,100,0,0,1001,0,0,0,1001,0,0,0,z,1,1001,1,0,1,0,0,0,0,10,1
2590,z,1,0,0,1,10,1,1,100,0,0,1001,0,1,0,1001,0,0,0,z,1,1001,1,0,1,0,0,1,0,10,1
2610,z,0,0,0,0,0,0,0,100,1,0,1001,0,1,0,1001,0,0,1,z,0,1001,0,0,0,0,0,1,0,0,0
2620,z,0,0,0,0,0,0,0,100,0,0,1001,0,1,0,1001,0,0,0,z,0,1001,0,0,0,0,0,1,0,0,0
2640,z,0,0,0,0,0,0,0,100,0,0,1001,0,0,0,1001,0,0,0,z,0,1001,0,0,0,0,0,0,0,0,0
2660,z,0,0,0,0,0,0,0,100,1,0,1001,0,0,0,1001,0,0,1,z,0,1001,0,0,0,0,0,0,0,0,0
2680,z,0,0,0,0,0,0,0,100,0,0,1001,0,0,0,1001,0,1,0,z,0,1001,0,0,0,0,0,0,0,0,0
2710,z,0,0,0,0,1,0,0,100,0,0,1001,0,0,1,1001,0,1,0,z,0,1001,0,0,0,0,0,0,1,1,0
2730,z,0,0,0,0,1,0,0,100,0,0,1001,0,1,1,1001,0,1,0,z,0,1001,0,0,0,0,0,1,1,1,0
2750,z,0,0,0,0,1,0,0,100,1,0,1001,0,1,1,1001,0,1,1,z,0,1001,0,0,0,0,0,1,1,1,0
2800,z,1,0,0,1,10,1,1,100,1,0,1001,0,0,1,1001,0,1,1,z,1,1001,1,0,1,0,0,0,1,10,1
2810,z,1,0,0,1,10,1,1,100,0,0,1001,0,0,1,1001,0,1,0,z,1,1001,1,0,1,0,0,0,1,10,1
2820,z,1,0,0,1,10,1,1,100,0,0,1001,0,0,1,1010,0,0,0,z,1,1001,1,0,1,0,0,0,1,10,1
2830,z,1,0,0,1,10,1,1,100,0,0,1010,0,0,1,1010,0,0,0,z,1,1010,1,0,1,0,0,0,1,10,1
2850,z,1,0,0,1,10,1,1,100,0,0,1010,0,0,0,1010,0,0,0,z,1,1010,1,0,1,0,0,0,0,10,1
2870,z,1,0,0,1,10,1,1,100,0,0,1010,0,1,0,1010,0,0,0,z,1,1010,1,0,1,0,0,1,0,10,1
2890,z,0,0,0,0,0,0,0,100,1,0,1010,0,1,0,1010,0,0,1,z,0,1010,0,0,0,0,0,1,0,0,0
2900,z,0,0,0,0,0,0,0,100,0,0,1010,0,1,0,1010,0,0,0,z,0,1010,0,0,0,0,0,1,0,0,0
2920,z,0,0,0,0,0,0,0,100,0,0,1010,0,0,0,1010,0,0,0,z,0,1010,0,0,0,0,0,0,0,0,0
