time,SMControlTest.done,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.continue,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.to_visit[15:0],SMControlTest.visited[15:0],SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.stop_loop[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
2120,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2150,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,
2170,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2190,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2200,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2220,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2240,,1,,,1,10,1,1,,,1,,,,,,,,,,,,1,,1,,1,,1,,,,,10,1
2250,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2260,,,,,,,,,,,,,,,,,,,1000,,0,,,,,,,,,,,,,,
2270,,,,,,,,,,,,,1000,,,,,,,,,,,,,1000,,,,,,,,,
2290,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,
2310,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2330,,0,,,0,0,0,0,,,1,,,,,,,,,,,,1,,0,,0,,0,,,,,0,0
2340,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2360,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2380,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2390,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2400,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2430,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,
2450,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2470,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2480,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2500,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2520,,1,,,1,10,1,1,,,1,,,,,,,,,,,,1,,1,,1,,1,,,,,10,1
2530,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2540,,,,,,,,,,,,,,,,,,,1001,,0,,,,,,,,,,,,,,
2550,,,,,,,,,,,,,1001,,,,,,,,,,,,,1001,,,,,,,,,
2570,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,
2590,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2610,,0,,,0,0,0,0,,,1,,,,,,,,,,,,1,,0,,0,,0,,,,,0,0
2620,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2640,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2660,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2670,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2680,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2710,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,
2730,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2750,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2760,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2780,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2800,,1,,,1,10,1,1,,,1,,,,,,,,,,,,1,,1,,1,,1,,,,,10,1
2810,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2820,,,,,,,,,,,,,,,,,,,1010,,0,,,,,,,,,,,,,,
2830,,,,,,,,,,,,,1010,,,,,,,,,,,,,1010,,,,,,,,,
2850,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,
2870,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
2890,,0,,,0,0,0,0,,,1,,,,,,,,,,,,1,,0,,0,,0,,,,,0,0
2900,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2920,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
2940,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
2950,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2960,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2990,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,
3010,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
3030,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
3040,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3060,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
3080,,1,,,1,10,1,1,,,1,,,,,,,,,,,,1,,1,,1,,1,,,,,10,1
3090,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3100,,,,,,,,,,,,,,,,,,,1011,,0,,,,,,,,,,,,,,
3110,,,,,,,,,,,,,1011,,,,,,,,,,,,,1011,,,,,,,,,
3130,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,
3150,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
3170,,0,,,0,0,0,0,,,1,,,,,,,,,,,,1,,0,,0,,0,,,,,0,0
3180,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3200,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,
3220,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
3230,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3240,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
3270,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,
3290,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
3310,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
3320,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
