time,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.done,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
1540,0,0,0,0,0,0,0,0,100,1,0,101,0,0,0,101,0,0,1,0,0,101,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,100,0,0,101,0,0,0,101,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,100,0,0,101,0,0,0,101,0,1,0,0,0,101,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,1,0,0,0,100,0,0,101,0,0,1,101,0,1,0,0,0,101,0,0,0,0,0,0,1,1,0
1610,0,0,0,0,1,0,0,0,100,0,0,101,0,1,1,101,0,1,0,0,0,101,0,0,0,0,0,1,1,1,0
1630,0,0,0,0,1,0,0,0,100,1,0,101,0,1,1,101,0,1,1,0,0,101,0,0,0,0,0,1,1,1,0
1640,0,0,0,0,1,0,0,0,100,0,0,101,0,1,1,101,0,1,0,0,0,101,0,0,0,0,0,1,1,1,0
1660,0,0,0,0,1,0,0,0,100,0,0,101,0,0,1,101,0,1,0,0,0,101,0,0,0,0,0,0,1,1,0
1680,1,0,0,1,10,1,1,0,100,1,0,101,0,0,1,101,0,1,1,0,1,101,1,0,1,0,0,0,1,10,1
1690,1,0,0,1,10,1,1,0,100,0,0,101,0,0,1,101,0,1,0,0,1,101,1,0,1,0,0,0,1,10,1
1700,1,0,0,1,10,1,1,0,100,0,0,101,0,0,1,110,0,0,0,0,1,101,1,0,1,0,0,0,1,10,1
1710,1,0,0,1,10,1,1,0,100,0,0,110,0,0,1,110,0,0,0,0,1,110,1,0,1,0,0,0,1,10,1
1730,1,0,0,1,10,1,1,0,100,0,0,110,0,0,0,110,0,0,0,0,1,110,1,0,1,0,0,0,0,10,1
1750,1,0,0,1,10,1,1,0,100,0,0,110,0,1,0,110,0,0,0,0,1,110,1,0,1,0,0,1,0,10,1
1770,0,0,0,0,0,0,0,0,100,1,0,110,0,1,0,110,0,0,1,0,0,110,0,0,0,0,0,1,0,0,0
1780,0,0,0,0,0,0,0,0,100,0,0,110,0,1,0,110,0,0,0,0,0,110,0,0,0,0,0,1,0,0,0
1800,0,0,0,0,0,0,0,0,100,0,0,110,0,0,0,110,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0,0,100,1,0,110,0,0,0,110,0,0,1,0,0,110,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,100,0,0,110,0,0,0,110,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,0,0,0,100,0,0,110,0,0,0,110,0,1,0,0,0,110,0,0,0,0,0,0,0,0,0
1870,0,0,0,0,1,0,0,0,100,0,0,110,0,0,1,110,0,1,0,0,0,110,0,0,0,0,0,0,1,1,0
1890,0,0,0,0,1,0,0,0,100,0,0,110,0,1,1,110,0,1,0,0,0,110,0,0,0,0,0,1,1,1,0
1910,0,0,0,0,1,0,0,0,100,1,0,110,0,1,1,110,0,1,1,0,0,110,0,0,0,0,0,1,1,1,0
1920,0,0,0,0,1,0,0,0,100,0,0,110,0,1,1,110,0,1,0,0,0,110,0,0,0,0,0,1,1,1,0
1940,0,0,0,0,1,0,0,0,100,0,0,110,0,0,1,110,0,1,0,0,0,110,0,0,0,0,0,0,1,1,0
1960,1,0,0,1,10,1,1,0,100,1,0,110,0,0,1,110,0,1,1,0,1,110,1,0,1,0,0,0,1,10,1
1970,1,0,0,1,10,1,1,0,100,0,0,110,0,0,1,110,0,1,0,0,1,110,1,0,1,0,0,0,1,10,1
1980,1,0,0,1,10,1,1,0,100,0,0,110,0,0,1,111,0,0,0,0,1,110,1,0,1,0,0,0,1,10,1
1990,1,0,0,1,10,1,1,0,100,0,0,111,0,0,1,111,0,0,0,0,1,111,1,0,1,0,0,0,1,10,1
2010,1,0,0,1,10,1,1,0,100,0,0,111,0,0,0,111,0,0,0,0,1,111,1,0,1,0,0,0,0,10,1
2030,1,0,0,1,10,1,1,0,100,0,0,111,0,1,0,111,0,0,0,0,1,111,1,0,1,0,0,1,0,10,1
2050,0,0,0,0,0,0,0,0,100,1,0,111,0,1,0,111,0,0,1,0,0,111,0,0,0,0,0,1,0,0,0
2060,0,0,0,0,0,0,0,0,100,0,0,111,0,1,0,111,0,0,0,0,0,111,0,0,0,0,0,1,0,0,0
2080,0,0,0,0,0,0,0,0,100,0,0,111,0,0,0,111,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,100,1,0,111,0,0,0,111,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0,100,0,0,111,0,0,0,111,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0,0,100,0,0,111,0,0,0,111,0,1,0,0,0,111,0,0,0,0,0,0,0,0,0
2150,0,0,0,0,1,0,0,0,100,0,0,111,0,0,1,111,0,1,0,0,0,111,0,0,0,0,0,0,1,1,0
2170,0,0,0,0,1,0,0,0,100,0,0,111,0,1,1,111,0,1,0,0,0,111,0,0,0,0,0,1,1,1,0
2190,0,0,0,0,1,0,0,0,100,1,0,111,0,1,1,111,0,1,1,0,0,111,0,0,0,0,0,1,1,1,0
2200,0,0,0,0,1,0,0,0,100,0,0,111,0,1,1,111,0,1,0,0,0,111,0,0,0,0,0,1,1,1,0
2220,0,0,0,0,1,0,0,0,100,0,0,111,0,0,1,111,0,1,0,0,0,111,0,0,0,0,0,0,1,1,0
2240,1,0,0,1,10,1,1,0,100,1,0,111,0,0,1,111,0,1,1,0,1,111,1,0,1,0,0,0,1,10,1
2250,1,0,0,1,10,1,1,0,100,0,0,111,0,0,1,111,0,1,0,0,1,111,1,0,1,0,0,0,1,10,1
2260,1,0,0,1,10,1,1,0,100,0,0,111,0,0,1,1000,0,0,0,0,1,111,1,0,1,0,0,0,1,10,1
2270,1,0,0,1,10,1,1,0,100,0,0,1000,0,0,1,1000,0,0,0,0,1,1000,1,0,1,0,0,0,1,10,1
2290,1,0,0,1,10,1,1,0,100,0,0,1000,0,0,0,1000,0,0,0,0,1,1000,1,0,1,0,0,0,0,10,1
2310,1,0,0,1,10,1,1,0,100,0,0,1000,0,1,0,1000,0,0,0,0,1,1000,1,0,1,0,0,1,0,10,1
2330,0,0,0,0,0,0,0,0,100,1,0,1000,0,1,0,1000,0,0,1,0,0,1000,0,0,0,0,0,1,0,0,0
2340,0,0,0,0,0,0,0,0,100,0,0,1000,0,1,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1,0,0,0
2360,0,0,0,0,0,0,0,0,100,0,0,1000,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
2380,0,0,0,0,0,0,0,0,100,1,0,1000,0,0,0,1000,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0
